"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.301071249E-1,-1.553319855E0,-1.131332382E1,-3.943549347E0,1.208121186E1
6.400801250E-1,3.966751099E-2,-9.829609222E0,-3.097508698E0,1.030618024E1
6.500531250E-1,7.967930603E-1,-8.822054443E0,-2.043999481E0,9.090734715E0
6.600261249E-1,1.605261841E0,-8.345595245E0,-1.793270874E0,8.685715054E0
6.699991249E-1,2.297422485E0,-8.246052246E0,-1.945653992E0,8.778445032E0
6.799721250E-1,2.011666718E0,-8.314909058E0,-7.692503357E-1,8.589310898E0
6.899451249E-1,1.522933044E0,-8.484656067E0,-9.710307312E-1,8.674768833E0
6.999181249E-1,1.473535767E0,-8.800199890E0,-8.268804932E-1,8.960946217E0
7.098901250E-1,1.534309387E0,-8.747210083E0,-5.507048035E-1,8.897812389E0
7.198631250E-1,1.117276611E0,-8.917555847E0,-7.370672607E-1,9.017448501E0
7.298361249E-1,2.665956116E-1,-9.391320648E0,-5.890251160E-1,9.413550198E0
7.398091250E-1,-3.854484558E-1,-9.809850311E0,-3.634442139E-1,9.824145018E0
7.497821250E-1,-1.194066925E0,-9.762249298E0,1.511856079E-1,9.836166137E0
7.597547499E-1,-1.996398468E0,-9.501491547E0,4.909790039E-1,9.721368671E0
7.697277500E-1,-2.325713654E0,-8.868008881E0,9.876461792E-1,9.220952797E0
7.796997500E-1,-2.002386017E0,-8.162226562E0,3.652404785E-1,8.412187161E0
7.896727499E-1,-1.150058441E0,-7.719597015E0,-7.467970276E-1,7.840441206E0
7.996457500E-1,-2.213896179E-1,-7.764653320E0,-1.555864563E0,7.922093731E0
8.096187500E-1,2.257305908E-1,-8.169561310E0,-1.557211761E0,8.319711219E0
8.195917499E-1,7.517367554E-1,-8.398135986E0,-1.419647827E0,8.550391579E0
8.295647500E-1,1.633403320E0,-8.307274933E0,-2.265089722E0,8.764100334E0
8.395377500E-1,2.273023224E0,-8.187973022E0,-2.701881409E0,8.916821179E0
8.495107499E-1,2.488574982E0,-8.220305786E0,-2.276316376E0,8.885271459E0
8.594827499E-1,2.092498627E0,-8.453520813E0,-1.614841919E0,8.857103311E0
8.694557500E-1,1.813478851E0,-8.839118958E0,-1.013542328E0,9.079977838E0
8.794287499E-1,1.410965881E0,-8.905580750E0,-5.682183838E-1,9.034548430E0
8.894017499E-1,1.321002960E0,-8.903634796E0,-3.628454590E-1,9.008408196E0
8.993747500E-1,1.570683746E0,-8.898096313E0,-4.478686523E-1,9.046753659E0
9.093477500E-1,2.014211426E0,-8.170160065E0,-6.929090881E-1,8.443262767E0
9.193207499E-1,2.533032532E0,-7.403753815E0,-1.522483978E0,7.971811702E0
9.292927500E-1,2.473306732E0,-6.882088623E0,-3.235671387E0,7.996871847E0
9.392657500E-1,1.436113586E0,-7.215894470E0,-4.428091736E0,8.587173671E0
9.492387499E-1,-4.959187317E-1,-8.631650391E0,-2.383493500E0,8.968409286E0
9.592117500E-1,-2.568508759E0,-1.014111145E1,1.031355286E-1,1.046183615E1
9.691847500E-1,-4.144431610E0,-1.090167984E1,3.703298950E-1,1.166876518E1
9.791577499E-1,-5.093009033E0,-1.125359802E1,-5.754034424E-1,1.236581168E1
9.891307499E-1,-5.199737091E0,-1.122860001E1,-1.689835968E0,1.248896591E1
9.991037500E-1,-4.435127106E0,-1.089224945E1,-2.625091095E0,1.205000223E1
1.009075750E0,-2.971321106E0,-1.033241364E1,-3.293301544E0,1.124425879E1
1.019048750E0,-1.227148132E0,-9.883048096E0,-3.027753754E0,1.040902613E1
1.029021750E0,-1.155596924E-1,-9.453890533E0,-1.965562592E0,9.656750828E0
1.038994750E0,6.044430542E-1,-8.654403076E0,-1.597777405E0,8.821390857E0
1.048967750E0,1.149609375E0,-7.879614258E0,-2.448907471E0,8.331090587E0
1.058940750E0,9.506730652E-1,-7.516918488E0,-2.934347992E0,8.125160981E0
1.068913750E0,6.968009949E-1,-7.339836731E0,-9.517208862E-1,7.434010190E0
1.078885750E0,2.403551788E0,-8.934770050E0,-4.129911804E-1,9.261627220E0
1.088858750E0,1.873204651E0,-1.346030914E1,3.644920349E-1,1.359491347E1
1.098831750E0,-2.176174622E0,-1.926643524E1,1.951342163E0,1.948689301E1
1.108804750E0,-7.977959747E0,-2.386846527E1,5.415438538E0,2.574254165E1
1.118777750E0,-8.091274109E0,-2.411380508E1,5.695057068E0,2.606488034E1
1.128750750E0,-2.784060516E0,-2.145563278E1,3.639232178E0,2.193944352E1
1.138723750E0,1.712139587E0,-2.117960678E1,1.007405090E0,2.127256520E1
1.148696750E0,4.653972015E0,-2.153451874E1,-1.247206421E0,2.206695440E1
1.158668750E0,6.758445740E0,-2.026979874E1,-2.935395813E0,2.156751906E1
1.168641750E0,6.995253296E0,-1.902378983E1,-4.780458984E0,2.082524756E1
1.178614750E0,8.440048828E0,-1.979768051E1,-4.812492371E0,2.205317802E1
1.188587750E0,1.102906494E1,-2.009481262E1,-5.787265320E0,2.364178943E1
1.198560750E0,1.072519684E1,-1.810425201E1,-5.626200256E0,2.178182540E1
1.208533750E0,7.431296539E0,-1.404813675E1,-9.752220154E-1,1.592248009E1
1.218506750E0,2.714155884E0,-9.874066772E0,4.152365112E0,1.105015714E1
1.228478750E0,-5.149291992E-1,-8.775201874E0,1.478774872E0,8.913814847E0
1.238451750E0,-3.209326172E0,-8.507558441E0,-2.016307068E0,9.313636202E0
1.248424750E0,-4.055217133E0,-8.913514252E0,-4.701273651E0,1.086266525E1
1.258397750E0,-3.405867462E0,-8.694968719E0,-3.009791107E0,9.811282114E0
1.268370750E0,-2.080673218E0,-7.880811768E0,5.504054260E-1,8.169414991E0
1.278343750E0,-7.674540710E-1,-6.017486572E0,2.070195007E0,6.409745531E0
1.288316750E0,-1.586700439E-2,-4.306544495E0,3.328777771E0,5.443100100E0
1.298289750E0,1.090182953E0,-2.517315216E0,3.314557343E0,4.302518465E0
1.308261750E0,1.167721710E0,-2.007924500E0,3.841611328E0,4.489244077E0
1.318234750E0,2.119592285E-1,-2.724484406E0,4.541705475E0,5.300455698E0
1.328207750E0,3.475772095E-1,-3.479514313E0,4.551734619E0,5.739870888E0
1.338180750E0,1.385069733E0,-2.547552338E0,4.114194489E0,5.033392233E0
1.348153750E0,2.151026917E0,-2.144290924E0,3.382965088E0,4.546356030E0
1.358126750E0,3.304378510E0,-1.710343323E0,3.028502197E0,4.797501139E0
1.368099750E0,4.832251282E0,-5.131329346E-1,2.509830780E0,5.469296884E0
1.378071750E0,5.084776154E0,9.415420532E-1,1.637295227E0,5.424222122E0
1.388044750E0,4.409081268E0,1.516346741E0,2.912942505E-1,4.671633270E0
1.398017750E0,3.217259674E0,9.521699524E-1,-1.038690033E0,3.512301868E0
1.407990750E0,1.687890015E0,-2.378553772E-1,-2.085463257E0,2.693455936E0
1.417963750E0,4.956193542E-1,-1.443747711E0,-3.114872589E0,3.468786134E0
1.427936750E0,-2.559677124E-1,-2.530787201E0,-4.725373535E0,5.366522000E0
1.437909750E0,5.254074097E-1,-4.237537994E0,-7.792495422E0,8.885705718E0
1.447881750E0,2.631527710E0,-7.033573608E0,-1.347632584E1,1.542749020E1
1.457854750E0,4.036805420E0,-1.113594269E1,-1.719938370E1,2.088357769E1
1.467827750E0,5.017865295E0,-1.500539612E1,-1.586401062E1,2.240552873E1
1.477800750E0,5.078339539E0,-1.747466125E1,-1.237012619E1,2.200393920E1
1.487773750E0,3.343447266E0,-1.755504410E1,-9.162446594E0,2.008254567E1
1.497746750E0,2.340682526E0,-1.566836746E1,-7.773484955E0,1.764663146E1
1.507719750E0,2.165696411E0,-1.274030640E1,-6.363117828E0,1.440468384E1
1.517691750E0,3.476221161E0,-1.063523392E1,-6.180198212E0,1.278229885E1
1.527664750E0,7.056326294E0,-1.099194214E1,-1.004770569E1,1.647940904E1
1.537637750E0,1.160192368E1,-1.603630234E1,-1.494043121E1,2.479887317E1
1.547610750E0,1.116168915E1,-2.557027634E1,-7.991581421E0,2.902219341E1
1.557583750E0,8.082891541E0,-3.211975662E1,-3.365152130E0,3.329168290E1
1.567556750E0,2.884202271E0,-2.707045670E1,-1.608704681E0,2.727116021E1
1.577529750E0,-6.385271759E0,-7.041656799E0,1.732347565E1,1.976004642E1
1.587501750E0,-1.695973206E-1,6.750811615E0,1.580623077E1,1.718834349E1
1.597474750E0,7.512876892E0,1.045036835E1,2.506837006E0,1.311250356E1
1.607447750E0,8.140521698E0,8.946745148E0,-5.384902039E0,1.324044985E1
1.617420750E0,2.865042114E0,7.277865601E-1,-1.122066650E0,3.161830666E0
1.627393750E0,4.221221924E-1,-9.463620300E0,7.039112091E0,1.180200811E1
1.637366750E0,2.130968628E0,-1.258178604E1,1.249361938E1,1.785869235E1
1.647339750E0,4.011807404E0,-1.454300766E1,7.445516968E0,1.682347745E1
1.657311750E0,2.833457794E0,-1.819511307E1,8.054750061E-1,1.843202139E1
1.667284750E0,-4.132456512E0,-2.454880051E1,-9.892179108E0,2.678760927E1
1.677257750E0,-8.644673309E0,-3.125350800E1,-6.681505737E0,3.310822643E1
1.687230750E0,-3.031645660E0,-2.388792480E1,-2.275867310E0,2.418684351E1
1.697203750E0,7.521858215E-1,-1.217807556E1,-7.415579224E-1,1.222379712E1
1.707176750E0,1.646725616E0,-8.045169983E0,1.394649811E0,8.329556615E0
1.717149750E0,1.434017944E0,-7.613767090E0,1.374142456E0,7.868552869E0
1.727122750E0,4.418811035E-1,-8.181686096E0,-4.703219604E-1,8.207097479E0
1.737094750E0,3.611988831E-1,-7.774383087E0,-7.090754700E-1,7.815003841E0
1.747067750E0,7.328759766E-1,-7.356302490E0,6.156697083E-1,7.418311312E0
1.757041000E0,1.110839996E0,-7.451953583E0,4.822970581E-1,7.549714442E0
1.767014000E0,1.699715424E0,-7.989485779E0,-1.682501221E0,8.339767736E0
1.776987000E0,2.570005646E0,-8.218659210E0,-1.990560608E0,8.838190978E0
1.786960000E0,2.599494324E0,-8.373287659E0,-1.242117004E0,8.855064743E0
1.796933000E0,1.804946594E0,-8.525820465E0,-1.516945496E0,8.845822203E0
1.806905000E0,1.714235229E0,-8.547675018E0,-2.229314117E0,8.998399417E0
1.816878000E0,2.903961182E0,-8.114026794E0,-3.244652710E0,9.208593409E0
1.826851000E0,2.997366943E0,-7.852370911E0,-3.495081940E0,9.102721312E0
1.836824000E0,2.969075775E0,-7.465126190E0,-2.558180237E0,8.431358498E0
1.846797000E0,2.621648254E0,-6.771169281E0,-1.463656311E0,7.407027933E0
1.856770000E0,2.397863617E0,-6.174510040E0,-1.075812836E0,6.710566103E0
1.866742000E0,2.478994904E0,-6.003415833E0,-1.582658844E0,6.685149692E0
1.876715000E0,2.588716736E0,-6.397396545E0,-2.091151428E0,7.211175438E0
1.886688000E0,2.054178314E0,-6.940018158E0,-1.629361725E0,7.418781585E0
1.896661000E0,1.441652069E0,-7.734266510E0,-4.893324280E-1,7.882682625E0
1.906634000E0,8.099656677E-1,-8.641529846E0,2.965333557E-1,8.684469730E0
1.916607000E0,2.427951050E-1,-9.222322083E0,-5.658233643E-2,9.225691064E0
1.926580000E0,3.353027344E-1,-1.001657043E1,-1.053958282E0,1.007744706E1
1.936552000E0,6.273454285E-1,-1.078926361E1,-2.704875183E0,1.114083127E1
1.946525000E0,9.045689392E-1,-1.088536377E1,-4.404291229E0,1.177740084E1
1.956498000E0,6.828799438E-1,-1.085976700E1,-5.187612305E0,1.205455041E1
1.966471000E0,-3.344046021E-1,-1.111259125E1,-5.130580902E0,1.224436079E1
1.976444000E0,-1.896406403E0,-1.153890472E1,-3.667223969E0,1.225525239E1
1.986417000E0,-3.015778656E0,-1.190085205E1,-1.465901642E0,1.236422533E1
1.996390000E0,-3.701802063E0,-1.220576797E1,-3.394940186E-1,1.275928550E1
2.006362000E0,-3.810027008E0,-1.241368561E1,-2.321672058E-1,1.298729371E1
2.016335000E0,-3.674259338E0,-1.267399429E1,-1.197509766E-2,1.319584997E1
2.026308000E0,-3.556753693E0,-1.331556015E1,-3.121009827E-1,1.378593653E1
2.036281000E0,-3.329825592E0,-1.371627686E1,-4.884342957E-1,1.412312137E1
2.046254000E0,-2.688708801E0,-1.382525024E1,-3.523672485E-1,1.408867850E1
2.056227000E0,-1.436712341E0,-1.425410843E1,-8.476872253E-1,1.435138750E1
2.066200000E0,6.743476868E-1,-1.414139282E1,-2.756517792E0,1.442331883E1
2.076172000E0,3.038381653E0,-1.200982544E1,-4.832700348E0,1.329746829E1
2.086145000E0,5.086273041E0,-1.022164398E1,-4.611610107E0,1.231337187E1
2.096118000E0,7.107519836E0,-9.750423889E0,-2.808160400E0,1.238843691E1
2.106091000E0,7.891140289E0,-1.059287201E1,-1.743574219E0,1.332362877E1
2.116064000E0,6.487209778E0,-1.309491898E1,-1.010398865E0,1.464860743E1
2.126037000E0,5.962401123E0,-1.474778183E1,8.966354370E-2,1.590771309E1
2.136010000E0,4.887486420E0,-1.569800583E1,7.458988953E-1,1.645816745E1
2.145982000E0,1.726360016E0,-1.662652496E1,6.997947693E-1,1.673055181E1
2.155955000E0,5.254074097E-2,-1.666993469E1,2.564167786E-1,1.667198947E1
2.165928000E0,1.100511475E0,-1.647728531E1,-4.213737488E-1,1.651937083E1
2.175901000E0,2.864143982E0,-1.629212036E1,-1.177750854E0,1.658383561E1
2.185874000E0,3.072810059E0,-1.551733154E1,-1.426683197E0,1.588285758E1
2.195847000E0,2.381996613E0,-1.464958603E1,-8.741821289E-1,1.486769898E1
2.205820000E0,2.130519562E0,-1.339279953E1,6.944059753E-1,1.357896876E1
2.215792000E0,1.779948578E0,-1.229573090E1,3.533402252E0,1.291658417E1
2.225765000E0,9.536668396E-1,-1.135314102E1,1.914518738E0,1.155286430E1
2.235738000E0,-1.505868530E-1,-1.135209320E1,-2.922223206E0,1.172314313E1
2.245711000E0,-8.385562134E-1,-1.156839340E1,-2.980152740E0,1.197548382E1
2.255684000E0,-1.763333130E0,-1.157333313E1,-9.680369568E-1,1.174684975E1
2.265657000E0,-1.686991882E0,-1.085722229E1,-2.769241333E-2,1.098753768E1
2.275630000E0,-7.893086243E-1,-9.891430664E0,1.534309387E-1,9.924059136E0
2.285602000E0,-2.185455322E-2,-8.319549408E0,9.342073059E-1,8.371864981E0
2.295575000E0,-1.170565796E-1,-6.849157104E0,1.681902466E0,7.053612634E0
2.305548000E0,-1.068777466E-1,-5.284011841E0,1.726509705E0,5.559949617E0
2.315521000E0,5.098397827E-1,-3.445834351E0,1.894460449E0,3.965184910E0
2.325494000E0,1.390308838E0,-2.286944275E0,2.199526062E0,3.464244171E0
2.335467000E0,1.915117493E0,-1.356479187E0,1.312470703E0,2.688919884E0
2.345440000E0,2.210752716E0,-1.423689423E0,8.984317017E-1,2.778758476E0
2.355412000E0,1.943708038E0,-1.692680054E0,1.531016235E0,2.997862141E0
2.365385000E0,1.637145538E0,-1.679956512E0,1.525926819E0,2.798383829E0
2.375358000E0,1.713187408E0,-1.550026703E0,9.291178894E-1,2.490151387E0
2.385331000E0,1.755100250E0,-1.184786224E0,5.727090454E-1,2.193647861E0
2.395304000E0,1.898502045E0,-1.322200470E0,-5.254074097E-2,2.314148791E0
2.405277000E0,2.127974854E0,-1.924697571E0,-1.098266144E0,3.072283554E0
2.415249000E0,1.848056946E0,-2.266436920E0,-2.420616302E0,3.796239465E0
