"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.161223750E-1,-4.626878357E-1,-6.424639893E-1,-1.655557251E-1,8.088564205E-1
6.260963751E-1,-5.457650757E-1,3.442840576E-3,-2.258353729E0,2.323366725E0
6.360703750E-1,-2.233355713E-1,4.766088867E-1,-3.511847076E0,3.551070922E0
6.460433750E-1,7.625143433E-1,8.396040344E-1,-2.027234344E0,2.322938257E0
6.560173751E-1,1.463806000E0,1.238374786E0,-1.309776306E-1,1.921836428E0
6.659913750E-1,1.637145538E0,1.727108459E0,7.176077271E-1,2.485580414E0
6.759653750E-1,1.436263275E0,1.981579285E0,-4.558021545E-1,2.489430509E0
6.859383751E-1,1.049766998E0,8.405021667E-1,-1.963017883E0,2.379473440E0
6.959123750E-1,4.912783813E-1,-1.350042572E0,-3.543581085E0,3.823733294E0
7.058863750E-1,4.357438660E-1,-3.637585602E0,-4.049229584E0,5.460600878E0
7.158593751E-1,1.630409546E0,-6.055657196E0,-1.635648651E0,6.481092954E0
7.258333750E-1,2.765648804E0,-8.457861786E0,2.502795410E0,9.243820864E0
7.358073751E-1,3.463198242E0,-9.899663544E0,5.763614502E0,1.196730264E1
7.457813750E-1,3.705244904E0,-1.151600235E1,2.533182220E0,1.235978002E1
7.557543750E-1,4.867877197E0,-1.631397491E1,-2.227817230E0,1.716989154E1
7.657283751E-1,4.661157074E0,-2.034883438E1,3.903133392E0,2.123760571E1
7.757023750E-1,4.443210297E0,-2.321237961E1,7.589966583E0,2.482265654E1
7.856753750E-1,6.954687653E0,-2.878124908E1,-1.555116119E0,2.965040245E1
7.956493751E-1,9.905950470E0,-3.521951065E1,-7.014263763E0,3.725240504E1
8.056233750E-1,8.569529572E0,-3.823513962E1,-3.307072906E0,3.932301451E1
8.155973750E-1,8.777596893E0,-3.869094177E1,-6.592291260E0,4.021807413E1
8.255703751E-1,1.049692154E1,-3.629607193E1,-1.409139679E1,4.032564523E1
8.355443750E-1,8.570727081E0,-3.324092514E1,-1.366762802E1,3.694889068E1
8.455183750E-1,5.869145050E0,-3.002471329E1,-7.843239899E0,3.158237932E1
8.554913750E-1,4.928950195E0,-2.691537918E1,-3.592080231E0,2.759773952E1
8.654653750E-1,3.778742065E0,-2.278277298E1,-9.964778137E-1,2.311550571E1
8.754393751E-1,2.589914246E0,-1.875464951E1,7.288343811E-1,1.894665494E1
8.854133750E-1,7.185058594E-1,-1.549607574E1,1.655407562E0,1.560080089E1
8.953863750E-1,-5.382806396E-1,-1.263148270E1,1.508413239E0,1.273261213E1
9.053603751E-1,-1.712139587E0,-9.947264557E0,7.964936829E-1,1.012491463E1
9.153343750E-1,-2.402653656E0,-7.954308929E0,3.158432007E-2,8.309318426E0
9.253073750E-1,-2.567910004E0,-6.551575928E0,-4.748126221E-1,7.052854454E0
9.352813751E-1,-2.407593384E0,-5.323529663E0,-7.333250427E-1,5.888483641E0
9.452553750E-1,-1.678459625E0,-4.085603943E0,-8.550219727E-1,4.498938638E0
9.552293750E-1,-9.642947388E-1,-2.988235931E0,-1.168470154E0,3.350334435E0
9.652023751E-1,-3.686833191E-1,-2.183509369E0,-1.476230164E0,2.661371085E0
9.751763750E-1,4.737648010E-1,-1.280587006E0,-1.885628815E0,2.328079078E0
9.851503751E-1,1.514849854E0,-3.603007507E-1,-2.408790894E0,2.868250386E0
9.951233750E-1,2.415077820E0,3.938310242E-1,-3.300336914E0,4.108518893E0
1.005097375E0,2.711162109E0,7.903564453E-1,-4.521946564E0,5.331328542E0
1.015071375E0,2.720293121E0,1.047222290E0,-5.650449829E0,6.358006957E0
1.025045375E0,2.120939484E0,1.144969025E0,-6.129753113E0,6.586593322E0
1.035018375E0,3.457809448E-1,6.734495544E-1,-6.062692566E0,6.109774129E0
1.044992375E0,-1.805096283E0,-4.195774841E-1,-5.145250397E0,5.468822497E0
1.054966375E0,-3.543730774E0,-1.168919220E0,-1.800156555E0,4.143062100E0
1.064939375E0,-3.841162262E0,-1.528471527E0,3.159330139E0,5.203087512E0
1.074913375E0,-2.963537292E0,-1.951192474E0,3.734284515E0,5.151173284E0
1.084887375E0,-1.574126587E0,-1.732048187E0,3.134481812E0,3.911884669E0
1.094861375E0,-4.077520752E-1,-1.040785675E0,2.804717560E0,3.019261030E0
1.104834375E0,4.355941772E-2,-5.505551147E-1,1.966760101E0,2.042829815E0
1.114808375E0,1.450483704E-1,-2.951861572E-1,1.369202728E0,1.408151273E0
1.124782375E0,1.269360352E-1,-3.779640198E-1,1.240620117E0,1.303114666E0
1.134755375E0,2.095642090E-3,-1.357676697E-1,1.562301178E0,1.568190748E0
1.144729375E0,2.571652222E-1,4.537065125E-1,2.049837341E0,2.115139872E0
1.154703375E0,1.497785339E0,1.020877075E0,1.859283600E0,2.596629822E0
1.164677375E0,2.574645996E0,9.313632202E-1,1.060095520E0,2.935990798E0
1.174650375E0,2.912792816E0,4.399351501E-1,7.089257812E-1,3.029930806E0
1.184624375E0,2.546205139E0,-3.019221497E-1,-5.237608337E-1,2.616991212E0
1.194598375E0,2.008074188E0,-1.482816467E0,-4.026027832E0,4.737088423E0
1.204571375E0,3.194506989E0,-2.887196045E0,-4.015399933E0,5.887632166E0
1.214545375E0,4.926106110E0,-3.409310303E0,5.411247253E-1,6.015208568E0
1.224519375E0,4.745731201E0,-4.007616119E0,2.616109772E0,6.739954149E0
1.234492375E0,6.020180969E0,-6.343508606E0,-8.619076538E-1,8.787807755E0
1.244466375E0,8.919651489E0,-9.950258331E0,-4.241579590E0,1.401994369E1
1.254440375E0,6.542145538E0,-1.482876343E1,-5.611830139E-1,1.621748499E1
1.264414375E0,4.159999237E0,-2.112841324E1,1.691482544E-2,2.153405967E1
1.274387375E0,6.087840271E0,-2.741069916E1,-9.544302521E0,2.965639793E1
1.284361375E0,6.341712341E0,-2.982308258E1,-1.356628876E1,3.337181087E1
1.294335375E0,2.714455261E0,-3.027319656E1,-8.878786469E0,3.166492613E1
1.304309375E0,1.012195129E0,-3.242616943E1,-1.023900787E1,3.401938103E1
1.314282375E0,9.714797974E-2,-3.353221939E1,-8.330925751E0,3.455175102E1
1.324256375E0,-1.868115234E0,-3.396781357E1,-4.229005737E0,3.428099623E1
1.334230375E0,-1.596280518E0,-3.485397079E1,-2.467768250E0,3.497766819E1
1.344203375E0,5.610333252E-1,-3.479394562E1,-2.291734314E0,3.487385061E1
1.354177375E0,4.298610992E0,-3.008907944E1,-1.218017120E0,3.041897966E1
1.364151375E0,7.930658112E0,-2.358884674E1,-2.142794037E0,2.497840257E1
1.374125375E0,1.003647903E1,-1.923844345E1,-3.916455688E0,2.204965403E1
1.384098375E0,1.005294479E1,-1.607103012E1,-4.004173279E0,1.937454804E1
1.394072375E0,9.190887451E0,-1.408166702E1,-4.163891144E0,1.732350276E1
1.404046375E0,7.255861359E0,-1.232207611E1,-5.242847443E0,1.523051322E1
1.414019375E0,4.108805695E0,-1.078402451E1,-5.910908203E0,1.296596717E1
1.423993375E0,1.350641327E0,-9.878557434E0,-4.627926178E0,1.099217129E1
1.433967375E0,-1.373394012E0,-9.367520142E0,-2.610870667E0,9.821063606E0
1.443940375E0,-2.737956390E0,-8.150999908E0,-1.516795807E0,8.731315721E0
1.453914375E0,-3.107388153E0,-6.575226746E0,-3.056643677E-1,7.278935265E0
1.463888375E0,-3.558849335E0,-5.775739288E0,1.390458527E0,6.925167711E0
1.473862375E0,-2.914439392E0,-4.679718475E0,1.827549591E0,5.808068482E0
1.483835375E0,-1.973645782E0,-3.347788239E0,1.344055023E0,4.112109881E0
1.493809375E0,-1.241069183E0,-2.185305634E0,2.061213684E-1,2.521566864E0
1.503783375E0,-3.601510620E-1,-8.975335693E-1,-1.166823578E0,1.515504061E0
1.513756375E0,7.098239136E-1,2.959346008E-1,-2.664010162E0,2.772792351E0
1.523730375E0,1.663490753E0,1.294657745E0,-4.817282410E0,5.258283939E0
1.533704375E0,2.013612671E0,2.011367340E0,-6.121520233E0,6.750795844E0
1.543679500E0,1.502874756E0,2.698139191E0,-5.127437439E0,5.985749938E0
1.553652500E0,5.189707947E-1,3.571273499E0,-1.753603363E0,4.012287358E0
1.563626500E0,-3.742218018E-2,3.010090485E0,9.958790588E-1,3.170775969E0
1.573600500E0,3.623963928E-1,6.032455444E-2,2.027683411E0,2.060696535E0
1.583573500E0,6.988966370E-1,-1.656455383E0,2.408341827E0,3.005397029E0
1.593547500E0,2.299218750E-1,-2.092348938E0,2.282303925E0,3.104786523E0
1.603521500E0,-1.187031555E-1,-2.055824890E0,1.728455658E0,2.688506161E0
1.613494500E0,5.837860107E-3,-1.411115570E0,9.533674622E-1,1.702994642E0
1.623468500E0,1.661544800E-2,-6.198609924E-1,-1.273851013E-1,6.330329273E-1
1.633442500E0,-5.254074097E-2,3.038681030E-2,-1.275946655E0,1.277389430E0
1.643416500E0,-5.104385376E-2,3.248245239E-1,-1.233285370E0,1.276365641E0
1.653389500E0,-3.695814514E-1,1.706451416E-1,-2.281256104E-1,4.666385193E-1
1.663363500E0,-8.795709229E-1,-3.824546814E-1,2.582130432E-1,9.932726551E-1
1.673337500E0,-1.434766388E0,-1.056053925E0,-1.453477478E-1,1.787436837E0
