"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.168190417E-1,6.844516754E0,-3.348836060E0,-2.477647705E0,8.012543335E0
6.267910416E-1,3.291355591E0,-7.873177643E0,2.500400391E0,8.892240996E0
6.367640416E-1,5.674699402E-1,-1.157393188E1,5.914351044E0,1.300989891E1
6.467360416E-1,1.063089294E0,-1.302261932E1,5.570665741E0,1.420391107E1
6.567090416E-1,6.222560120E-1,-1.322140594E1,3.958967285E0,1.381543339E1
6.666820416E-1,-1.820214844E-1,-1.347348175E1,3.738775177E0,1.398378640E1
6.766540416E-1,-5.010081482E-1,-1.333457062E1,2.865191803E0,1.364811734E1
6.866270417E-1,-6.242019653E-1,-1.244871277E1,-2.266287231E-1,1.246641241E1
6.965990416E-1,-1.314566345E0,-1.092203751E1,-2.383942566E0,1.125620585E1
7.065720416E-1,-1.134191437E0,-9.948462067E0,-2.065404968E0,1.022370703E1
7.165440416E-1,-2.929408264E-1,-9.592502289E0,-9.107061768E-1,9.640088186E0
7.265170416E-1,-5.044509888E-2,-9.563312988E0,-7.629634094E-1,9.593832039E0
7.364900416E-1,8.786727905E-2,-8.766519928E0,-1.525926819E0,8.898766485E0
7.464620416E-1,1.838177490E-1,-7.978558502E0,-1.730251923E0,8.166085749E0
7.564350417E-1,3.293151855E-1,-8.090525665E0,-5.057981873E-1,8.113007201E0
7.664070416E-1,4.113446045E-1,-8.539442139E0,5.005590820E-1,8.563984810E0
7.763800416E-1,2.056723022E-1,-8.831784210E0,-5.688171387E-2,8.834361831E0
7.863520416E-1,-1.706451416E-1,-9.244026947E0,-9.334588623E-1,9.292604555E0
7.963250416E-1,-1.790277100E-1,-9.302106171E0,-1.060245209E0,9.364045602E0
8.062980416E-1,1.330732727E-1,-8.919950867E0,-7.223977661E-1,8.950144719E0
8.162700416E-1,1.969903564E-1,-8.603957977E0,-4.607418823E-1,8.618537066E0
8.262430417E-1,3.772155762E-1,-8.411308594E0,-1.192570038E0,8.503800747E0
8.362150416E-1,1.220112762E0,-8.273894348E0,-2.181563416E0,8.643218253E0
8.461880416E-1,2.113155670E0,-7.917784882E0,-2.424807587E0,8.546135744E0
8.561600416E-1,2.562970276E0,-7.502398682E0,-2.475701752E0,8.305654807E0
8.661330416E-1,2.405946808E0,-7.486381989E0,-2.102976837E0,8.139840717E0
8.761050416E-1,1.976938934E0,-8.077053680E0,-1.763183441E0,8.500347025E0
8.860780416E-1,1.253343658E0,-8.910819855E0,-1.698368225E0,9.157403313E0
8.960510417E-1,-1.258882141E-1,-9.849817200E0,-1.322649536E0,9.939021506E0
9.060230416E-1,-1.003812561E0,-1.078522202E1,-7.177574158E-1,1.085558977E1
9.159960416E-1,-1.146615601E0,-1.152378616E1,-9.669891357E-2,1.158109345E1
9.259680416E-1,-5.239105225E-1,-1.145492935E1,-7.719447327E-1,1.149285810E1
9.359410416E-1,1.093326416E0,-1.078552139E1,-2.905458069E0,1.122339169E1
9.459130416E-1,2.453248444E0,-1.015129028E1,-5.113217010E0,1.162807424E1
9.558860416E-1,2.254461823E0,-9.853559418E0,-4.290976868E0,1.098124373E1
9.658590417E-1,3.903881836E-1,-1.024185196E1,-1.657203827E0,1.038240141E1
9.758310416E-1,-1.503174133E0,-1.059885956E1,9.355545044E-2,1.070533087E1
9.858040416E-1,-2.183359680E0,-1.068972061E1,5.194198608E-1,1.092277361E1
9.957760416E-1,-2.310744781E0,-1.043165726E1,-3.623963928E-1,1.069066629E1
1.005749042E0,-2.303110657E0,-1.024110352E1,-2.413281555E0,1.077072179E1
1.015721042E0,-1.601669312E0,-1.013093262E1,-3.743714905E0,1.091863277E1
1.025694042E0,-7.870632935E-1,-9.928403778E0,-3.733985138E0,1.063650860E1
1.035667042E0,-5.493576050E-1,-9.765093384E0,-3.426225128E0,1.036329394E1
1.045639042E0,-1.305285645E-1,-1.023766068E1,-1.752106476E0,1.038732934E1
1.055612042E0,8.008346558E-2,-1.075992462E1,1.442999268E-1,1.076119016E1
1.065584042E0,2.945874023E-1,-1.099194214E1,1.797761536E-1,1.099735846E1
1.075557042E0,7.987390137E-1,-1.097712296E1,-2.170935516E0,1.121820723E1
1.085529042E0,2.396516418E-1,-1.094389206E1,-2.406844940E0,1.120799308E1
1.095502042E0,-1.100361786E0,-1.129146927E1,3.008743286E-1,1.134894707E1
1.105475042E0,-1.216819611E0,-1.208362198E1,2.171384583E0,1.233732066E1
1.115447042E0,3.110531616E-1,-1.335792206E1,5.840853882E-1,1.337430340E1
1.125420042E0,1.667682037E0,-1.404020325E1,2.390528870E-1,1.414091994E1
1.135392042E0,2.951711884E0,-1.448118622E1,6.737489319E-1,1.479429941E1
1.145365042E0,4.167184296E0,-1.453776855E1,5.495072937E-1,1.513321175E1
1.155337042E0,4.252656555E0,-1.480825607E1,-3.367996216E-2,1.540683842E1
1.165310042E0,3.471431122E0,-1.514595383E1,-4.219725037E-1,1.554441418E1
1.175282042E0,2.887495422E0,-1.510389130E1,-6.532415771E-1,1.539129256E1
1.185254917E0,3.189417572E0,-1.433209625E1,-6.921606445E-1,1.469899499E1
1.195227917E0,3.731141052E0,-1.396745453E1,-4.522096252E-1,1.446429027E1
1.205199917E0,4.076023865E0,-1.382120865E1,-6.289920044E-1,1.442343267E1
1.215172917E0,4.048181763E0,-1.348141525E1,-1.381327515E0,1.414370526E1
1.225144917E0,4.227209473E0,-1.250813919E1,-2.069296875E0,1.336431201E1
1.235117917E0,4.838089142E0,-1.129805557E1,-1.125958557E0,1.234183734E1
1.245089917E0,4.940027161E0,-1.054886353E1,2.342478790E0,1.188148126E1
1.255062917E0,4.515060883E0,-9.469158783E0,4.832999725E0,1.155026533E1
1.265035917E0,2.356699219E0,-7.833659821E0,5.529501343E-1,8.199146983E0
1.275007917E0,9.529183960E-1,-7.054380341E0,-1.812880096E0,7.345670133E0
1.284980917E0,4.740641785E-1,-7.295977936E0,-8.978329468E-1,7.366283655E0
1.294952917E0,-1.586700439E0,-7.943681030E0,3.281176758E-1,8.107240456E0
1.304925917E0,-2.601140900E0,-8.793912964E0,2.797682190E-1,9.174808415E0
1.314897917E0,-2.434088287E0,-9.275910645E0,3.718267822E-1,9.597164124E0
1.324870917E0,-1.867965546E0,-8.357720032E0,3.987707520E-1,8.573202291E0
1.334842917E0,-9.645941162E-1,-6.516099701E0,1.639091492E0,6.787975990E0
1.344815917E0,-4.200265503E-1,-5.208269348E0,2.022294617E0,5.602871355E0
1.354788917E0,5.182223511E-1,-3.275787964E0,1.400038605E0,3.599923511E0
1.364760917E0,1.531465302E0,-1.502276001E0,5.333409119E-1,2.210581752E0
1.374733917E0,1.986069946E0,-5.833369446E-1,3.752696228E-1,2.103706993E0
1.384705917E0,2.030228119E0,-6.816824341E-1,-1.516346741E-1,2.146976998E0
1.394678917E0,1.400936737E0,-9.919871521E-1,-2.320175171E-2,1.716741265E0
1.404650917E0,1.251547394E0,-1.023272095E0,-2.814147949E-2,1.616863817E0
1.414623917E0,1.184187469E0,-1.264570312E0,-3.222798157E-1,1.762186800E0
1.424596917E0,8.771759033E-1,-2.030527496E0,-8.259823608E-1,2.361085839E0
1.434568917E0,6.641688538E-1,-2.791544952E0,-1.405277710E0,3.195097640E0
1.444541917E0,6.722520447E-1,-3.056643677E0,-2.694546661E0,4.129839596E0
1.454513917E0,1.030606842E0,-3.440744934E0,-4.573589172E0,5.815375661E0
1.464486917E0,9.882449341E-1,-4.628075867E0,-6.365063782E0,7.931566757E0
1.474458917E0,5.966592407E-1,-6.319708099E0,-8.501121826E0,1.060960815E1
1.484431917E0,1.022823029E0,-8.582851868E0,-9.566007385E0,1.289263396E1
1.494403917E0,1.412163391E0,-1.148741180E1,-1.069136719E1,1.575627392E1
1.504376917E0,1.690434723E0,-1.477023514E1,-1.227387634E1,1.927862692E1
1.514349917E0,2.459086304E0,-1.756282791E1,-1.195414124E1,2.138694748E1
1.524321917E0,2.606230316E0,-1.740775040E1,-1.132978958E1,2.093290095E1
1.534294917E0,2.283501434E0,-1.421893158E1,-1.030681686E1,1.770940055E1
1.544266917E0,2.229014740E0,-1.153471344E1,-8.560398560E0,1.453611173E1
1.554239917E0,2.712509308E0,-9.480535126E0,-6.172564087E0,1.163352055E1
1.564211917E0,3.513343964E0,-7.054979095E0,-4.233646088E0,8.946511892E0
1.574184917E0,3.935615845E0,-4.041595459E0,-4.489314423E0,7.209542976E0
1.584156917E0,2.958447876E0,-1.336869965E0,-5.747897186E0,6.601360254E0
1.594129917E0,4.305047607E-1,-2.511776733E-1,-5.452711029E0,5.475443556E0
1.604102917E0,-9.888436890E-1,-2.042801971E0,-2.607577515E0,3.456922364E0
1.614074917E0,5.701643372E-1,-4.611610107E0,3.635040894E0,5.899623501E0
1.624047917E0,4.233795776E0,-7.036717072E0,8.163873138E0,1.157969077E1
1.634019917E0,5.942791901E0,-1.118069962E1,7.584128723E0,1.475953346E1
1.643992917E0,7.394024048E0,-1.765533554E1,-1.008901978E0,1.916769021E1
1.653964917E0,4.440815277E0,-3.167727676E1,-2.414269501E1,4.007543419E1
1.663937917E0,4.059857483E0,-3.818918518E1,-6.885830841E0,3.901680374E1
1.673909917E0,8.604107666E0,-2.920651474E1,5.336103516E0,3.091157021E1
1.683882917E0,6.350993042E0,-1.364697098E1,1.880539398E0,1.516942181E1
1.693855917E0,3.990252228E0,-3.941154327E0,1.555864563E0,5.820268448E0
