"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.353458368E-3,-4.158652039E0,1.419647827E0,5.215903473E0,6.820222560E0
1.832745830E-2,-2.384990387E0,1.979184265E0,4.877756653E0,5.779088117E0
2.830045833E-2,-9.213340759E-1,1.512903900E0,2.451452179E0,3.024459039E0
3.827445838E-2,-2.894979858E-1,8.795709229E-1,8.858578491E-1,1.281482821E0
4.824845830E-2,3.592529297E-2,4.805007935E-1,3.418890381E-1,5.908127906E-1
5.822145834E-2,-5.360353088E-1,1.780397644E0,2.366578674E-1,1.874341636E0
6.819545839E-2,-2.812950439E0,6.848708038E0,-6.078858948E-1,7.428796486E0
7.816845831E-2,-1.163680115E0,4.007316742E0,-3.975732422E-1,4.191754211E0
8.814245835E-2,1.725910950E-1,2.948867798E-1,-1.901046753E-2,3.422094342E-1
9.811645839E-2,8.502319336E-2,1.893562317E-1,2.454895020E-2,2.090152551E-1
1.080894583E-1,7.768844604E-2,1.919009399E-1,6.032455444E-2,2.156397859E-1
1.180634584E-1,1.062789917E-1,2.149530029E-1,-3.891906738E-2,2.429294370E-1
1.280374584E-1,2.062710571E-1,2.740800476E-1,-3.106040955E-1,4.627553626E-1
1.380104583E-1,1.901046753E-1,8.493338013E-1,-1.971101074E0,2.154703492E0
1.479844584E-1,-4.519102478E-1,2.259251862E0,-3.812122650E0,4.454292418E0
1.579584583E-1,-1.044827271E-1,2.208657074E0,-1.589694214E0,2.723272003E0
1.679314583E-1,8.526269531E-1,1.447190552E0,6.759942627E-1,1.810608035E0
1.779054584E-1,9.312135315E-1,1.298250275E0,1.233285370E0,2.018317423E0
1.878794583E-1,5.848338318E-1,9.379495239E-1,6.153703308E-1,1.265093105E0
1.978524583E-1,2.591111755E-1,8.349636841E-1,1.034349060E-1,8.803418284E-1
2.078264584E-1,1.363664246E-1,8.470884705E-1,6.481521606E-2,8.604392429E-1
2.178004583E-1,1.591191101E-1,7.614665222E-1,-1.143621826E-1,7.862753109E-1
2.277734583E-1,2.920426941E-1,6.414161682E-1,-1.207688599E0,1.398290166E0
2.377474584E-1,2.829116821E-2,4.224215698E-1,-3.078198853E0,3.107176942E0
2.477204583E-1,-6.219566345E-1,5.987548828E-4,-3.407364349E0,3.463663122E0
2.576944584E-1,-1.657054138E-1,-1.173110504E0,-2.085912323E0,2.398890735E0
2.676684584E-1,5.569917297E-1,-1.796713715E0,-5.815406799E-1,1.968910745E0
2.776414583E-1,7.366181946E-1,-1.872905273E0,2.262844391E0,3.028340348E0
2.876154584E-1,9.702822876E-1,-2.647544403E0,2.942880249E0,4.075718740E0
2.975894584E-1,2.067650299E0,-5.437891846E0,-4.352498932E0,7.265679076E0
3.075624583E-1,2.286644897E0,-9.962532806E0,-8.681796112E0,1.341098015E1
3.175364584E-1,3.005300446E0,-1.406265656E1,-2.534379730E0,1.460182252E1
3.275104583E-1,5.151387634E0,-1.831935471E1,-1.856738892E0,1.912022570E1
3.374834583E-1,8.717272339E0,-2.929483109E1,-1.168036057E1,3.272015874E1
3.474574584E-1,1.185459824E1,-7.239590195E1,-9.117390289E0,7.392445417E1
3.574314583E-1,-1.247505798E0,-8.816725525E1,-1.590592346E0,8.819042552E1
3.674044583E-1,-6.931336212E0,-5.557927231E1,-1.074016571E0,5.602010749E1
3.773784584E-1,4.911735992E0,-3.520229645E1,-2.736309814E-1,3.554436242E1
3.873514583E-1,1.024484573E1,-2.766082901E1,-1.185085602E0,2.952088673E1
3.973254584E-1,7.527546387E0,-2.099728592E1,-7.012916565E-1,2.231684970E1
4.072994584E-1,4.284689941E0,-1.695359482E1,-1.709445190E0,1.757000706E1
4.172724583E-1,2.462080078E0,-1.536225403E1,-3.643573151E0,1.597924630E1
4.272464584E-1,2.611619110E0,-1.349877914E1,-4.908442841E0,1.459898640E1
4.372204584E-1,3.240910492E0,-1.117276611E1,-5.254672852E0,1.276502214E1
4.471934583E-1,3.272644501E0,-9.014254761E0,-5.086722107E0,1.085549320E1
4.571674584E-1,2.920426941E0,-7.204518127E0,-4.268673248E0,8.868796213E0
4.671414583E-1,2.215243378E0,-5.561534729E0,-3.259172516E0,6.816170278E0
4.771144583E-1,1.014739838E0,-4.453089752E0,-2.827619934E0,5.371698034E0
4.870884584E-1,-1.291813660E-1,-3.257825317E0,-2.243235168E0,3.957551976E0
4.970617084E-1,-9.204359436E-1,-1.758692780E0,-1.668131104E0,2.592848626E0
5.070347084E-1,-1.517843628E0,-6.161187744E-1,-1.196461945E0,2.028539575E0
5.170087083E-1,-1.697021027E0,3.092568970E-1,-9.119036865E-1,1.951176191E0
5.269827084E-1,-1.656006317E0,9.645941162E-1,-7.222480774E-1,2.048033451E0
5.369557084E-1,-1.386117554E0,1.263372803E0,-8.744815063E-1,2.069335791E0
5.469297083E-1,-9.105564880E-1,1.465751953E0,-1.664239197E0,2.397338944E0
5.569027084E-1,-5.330415344E-1,1.753303986E0,-3.206482086E0,3.693201255E0
5.668767083E-1,-1.001417542E0,2.253264313E0,-3.758234711E0,4.494926617E0
5.768507083E-1,-1.656006317E0,2.670297089E0,-1.603764954E0,3.527733761E0
5.868237084E-1,-1.589095459E0,2.047891388E0,1.187330933E0,2.851111758E0
5.967977083E-1,-1.378034363E0,1.213975525E-1,2.455643463E0,2.818492663E0
6.067717083E-1,-1.197809143E0,-9.274713135E-1,1.782642975E0,2.339394314E0
6.167447084E-1,-9.033714294E-1,-1.118174744E0,8.708889771E-1,1.680726720E0
6.267187083E-1,-4.595443726E-1,-1.136436768E0,5.837860107E-2,1.227223540E0
6.366927084E-1,-3.221301270E-1,-1.009051666E0,-1.041384430E0,1.485407222E0
6.466657084E-1,-6.182144165E-2,-6.620732117E-1,-1.596579895E0,1.729517328E0
6.566397083E-1,3.275189209E-1,-1.065783691E-1,-6.741979980E-1,7.570802685E-1
6.666137084E-1,6.935078430E-1,3.365002441E-1,3.314108276E-1,8.390582097E-1
6.765867084E-1,7.685018921E-1,3.023712158E-1,4.471202087E-1,9.391166016E-1
6.865607083E-1,6.864724731E-1,-7.858657837E-2,1.851649475E-1,7.153365393E-1
6.965347084E-1,6.580316162E-1,-3.960763550E-1,1.871109009E-1,7.905014713E-1
7.065077083E-1,6.704557800E-1,-6.128256226E-1,2.210902405E-1,9.348513738E-1
7.164817083E-1,7.084767151E-1,-1.160686340E0,-4.272116089E-1,1.425356726E0
7.264547084E-1,4.625381470E-1,-1.900148621E0,-2.107018433E0,2.874723116E0
7.364287083E-1,-1.571731567E-1,-2.652633820E0,-3.455863495E0,4.359376340E0
7.464027083E-1,3.697311401E-2,-4.466711426E0,-3.296744385E0,5.551702578E0
7.563757084E-1,1.319206696E0,-7.173382874E0,7.963439941E-2,7.294111995E0
7.663497083E-1,2.025737457E0,-8.456065521E0,6.525679779E0,1.087166744E1
7.763237084E-1,2.966231689E0,-9.251661072E0,7.869884491E0,1.250307342E1
7.862967084E-1,3.224295044E0,-1.184606598E1,1.724713440E0,1.239758017E1
7.962707083E-1,1.915716248E0,-1.863415009E1,-1.360969849E0,1.878173999E1
8.062447084E-1,1.522633667E0,-2.889875473E1,8.550219727E-1,2.895146803E1
8.162177084E-1,4.695286102E0,-3.418725723E1,-5.595364380E-1,3.451271287E1
8.261917083E-1,1.093356354E1,-2.932581665E1,-6.023474121E0,3.187206574E1
8.361657084E-1,1.326840820E1,-2.978191818E1,-7.131470032E0,3.337470856E1
8.461387084E-1,1.086081482E1,-3.362936737E1,-8.518635406E0,3.635187474E1
8.561127083E-1,6.395899658E0,-3.400673264E1,-1.036175262E1,3.612106469E1
8.660867084E-1,8.529263306E-1,-3.361634445E1,-9.681417389E0,3.499308418E1
8.760597083E-1,-2.401007080E0,-3.266073166E1,-6.878645782E0,3.346347255E1
8.860337083E-1,-1.901495819E0,-2.945245331E1,-3.273093567E0,2.969471053E1
8.960077084E-1,-7.682025146E-1,-2.569811050E1,-5.466632080E-1,2.571540121E1
9.059807083E-1,1.372645569E-1,-2.209405518E1,5.510041809E-1,2.210135112E1
9.159547084E-1,8.884025574E-1,-1.832040253E1,3.481759644E-1,1.834523465E1
9.259277084E-1,2.146685944E0,-1.504446487E1,-1.580712891E-1,1.519766990E1
9.359017083E-1,2.610421600E0,-1.292307632E1,-1.286724243E0,1.324673023E1
9.458757084E-1,2.151475983E0,-1.117620895E1,-2.192790070E0,1.159072145E1
9.558487084E-1,1.604663086E0,-1.042252625E1,-2.749332733E0,1.089783591E1
9.658227083E-1,1.080153809E0,-1.005264542E1,-2.804567871E0,1.049228350E1
